time,x-axis,y-axis,z-axis,Speedbreaker,Pothole
56.814,0.92,1.84,9.19,0,0
56.874,0.77,1.69,9.19,0,0
56.934,0.92,1.69,9.19,0,0
56.994,0.92,1.69,9.19,0,0
57.054,0.77,1.69,9.19,0,0
57.114,0.92,1.69,9.19,0,0
57.174,0.92,1.69,9.19,0,0
57.234,0.92,1.69,9.19,0,0
57.298,0.92,1.69,9.19,0,0
57.354,0.92,1.69,9.35,0,0
57.414,0.92,1.69,9.19,0,0
57.474,0.92,1.84,9.19,0,0
57.534,0.92,1.69,9.19,0,0
57.594,0.77,1.69,9.19,0,0
57.654,0.92,1.69,9.19,0,0
57.714,0.92,1.69,9.19,0,0
57.774,0.92,1.69,9.19,0,0
57.834,0.77,1.69,9.19,0,0
57.894,0.77,1.69,9.19,0,0
57.954,0.92,1.69,9.19,0,0
58.014,0.92,1.69,9.19,0,0
58.074,0.77,1.69,9.19,0,0
58.134,0.92,1.69,9.19,0,0
58.194,0.92,1.69,9.19,0,0
58.254,0.77,1.69,9.35,0,0
58.314,0.92,1.69,9.19,0,0
58.374,0.77,1.69,9.19,0,0
58.437,0.77,1.69,9.19,0,0
58.494,0.92,1.69,9.19,0,0
58.554,0.92,1.69,9.19,0,0
58.614,0.77,1.69,9.19,0,0
58.674,0.92,1.69,9.19,0,0
58.734,0.77,1.69,9.19,0,0
58.794,0.92,1.69,9.19,0,0
58.855,0.92,1.69,9.19,0,0
58.914,0.92,1.69,9.19,0,0
58.974,0.92,1.69,9.19,0,0
59.034,0.92,1.69,9.19,0,0
59.094,0.92,1.69,9.19,0,0
59.154,0.77,1.69,9.19,0,0
59.214,0.92,1.69,9.19,0,0
59.274,0.92,1.69,9.35,0,0
59.334,0.92,1.69,9.19,0,0
59.394,0.92,1.69,9.19,0,0
59.454,0.92,1.69,9.19,0,0
59.514,0.92,1.84,9.19,0,0
59.574,0.92,1.69,9.19,0,0
59.636,0.77,1.84,9.19,0,0
59.694,0.92,1.84,9.19,0,0
59.757,0.92,1.84,9.19,0,0
59.814,0.92,1.69,9.19,0,0
59.874,0.92,1.69,9.19,0,0
59.934,0.77,1.69,9.19,0,0
59.994,0.92,1.84,9.19,0,0
60.054,0.92,1.69,9.19,0,0
60.118,0.77,1.69,9.19,0,0
60.174,0.77,1.69,9.19,0,0
60.234,0.92,1.69,9.35,0,0
60.294,0.77,1.84,9.19,0,0
60.36,0.92,1.69,9.19,0,0
60.415,0.92,1.69,9.19,0,0
60.474,0.92,1.69,9.19,0,0
60.534,0.92,1.69,9.19,0,0
60.594,0.77,1.69,9.19,0,0
60.654,0.92,1.69,9.19,0,0
60.714,0.92,1.69,9.19,0,0
60.774,0.92,1.69,9.19,0,0
60.834,0.92,1.69,9.19,0,0
60.894,0.92,1.69,9.19,0,0
60.954,0.92,1.69,9.19,0,0
61.014,0.92,1.69,9.19,0,0
61.074,0.92,1.69,9.19,0,0
61.134,0.92,1.69,9.19,0,0
61.194,0.92,1.69,9.19,0,0
61.254,0.77,1.69,9.19,0,0
61.314,0.77,1.69,9.19,0,0
61.374,0.92,1.69,9.19,0,0
61.434,0.92,1.69,9.19,0,0
61.494,0.92,1.69,9.19,0,0
61.554,0.92,1.69,9.35,0,0
61.616,0.92,1.69,9.19,0,0
61.674,0.92,1.69,9.19,0,0
61.735,0.92,1.84,9.19,0,0
61.794,0.77,1.69,9.35,0,0
61.855,0.92,1.69,9.19,0,0
61.914,0.92,1.69,9.19,0,0
61.974,0.92,1.69,9.19,0,0
62.034,0.92,1.69,9.19,0,0
62.094,0.92,1.69,9.35,0,0
62.154,0.92,1.69,9.19,0,0
62.214,0.92,1.69,9.19,0,0
62.274,0.92,1.69,9.19,0,0
62.334,0.92,1.69,9.19,0,0
62.396,0.92,1.69,9.19,0,0
62.454,0.92,1.69,9.19,0,0
62.514,0.92,1.69,9.19,0,0
62.574,0.77,1.69,9.19,0,0
62.634,0.92,1.69,9.19,0,0
62.695,0.77,1.69,9.19,0,0
62.754,0.92,1.69,9.19,0,0
62.814,0.92,1.69,9.19,0,0
62.874,0.92,1.69,9.19,0,0
62.934,0.77,1.69,9.19,0,0
62.994,0.77,1.69,9.19,0,0
63.054,0.92,1.69,9.19,0,0
63.114,0.92,1.69,9.19,0,0
63.174,0.92,1.69,9.19,0,0
63.238,0.77,1.69,9.19,0,0
63.294,0.92,1.69,9.19,0,0
63.354,0.92,1.69,9.19,0,0
63.414,0.92,1.69,9.19,0,0
63.474,0.92,1.69,9.19,0,0
63.546,0.77,1.69,9.19,0,0
63.601,0.92,1.69,9.19,0,0
63.654,0.92,1.69,9.19,0,0
63.714,0.92,1.69,9.19,0,0
63.774,0.77,1.69,9.19,0,0
63.834,0.92,1.69,9.19,0,0
63.894,0.92,1.69,9.19,0,0
63.954,0.77,1.69,9.19,0,0
64.014,0.92,1.69,9.19,0,0
