time,x-axis,y-axis,z-axis,Event1,Event2,gpsdata,
53.761,-2.6,3.22,9.04,0,0,28.63445897,77.36615285

53.821,-2.76,3.22,9.04,0,0,28.63445897,77.36615285

53.881,-2.76,3.06,9.04,0,0,28.63445897,77.36615285

53.941,-2.3,3.37,8.43,0,0,28.63445897,77.36615285

54.001,-2.45,3.06,8.89,0,0,28.63445897,77.36615285

54.061,-1.99,2.91,9.19,0,0,28.63445897,77.36615285

54.12,-2.15,3.68,8.73,0,0,28.63445897,77.36615285

54.18,-1.84,3.52,9.04,0,0,28.63445897,77.36615285

54.24,-2.15,3.83,9.04,0,0,28.63445897,77.36615285

54.3,-3.06,3.83,8.89,0,0,28.63445897,77.36615285

54.361,-1.53,3.52,8.89,0,0,28.63445897,77.36615285

54.42,-1.07,3.22,9.35,0,0,28.63445897,77.36615285

54.48,-1.23,3.06,8.89,0,0,28.63445897,77.36615285

54.541,-1.99,3.06,9.19,0,0,28.63445897,77.36615285

54.601,-1.38,2.76,9.19,0,0,28.63445897,77.36615285

54.661,-1.38,2.91,9.35,0,0,28.63445897,77.36615285

54.721,-1.38,2.76,9.65,0,0,28.63445897,77.36615285

54.781,-1.53,3.06,9.19,0,0,28.63445897,77.36615285

54.841,-1.53,3.06,9.04,0,0,28.63445897,77.36615285

54.901,-1.38,3.06,9.19,0,0,28.63445897,77.36615285

54.961,-1.38,2.91,9.35,0,0,28.63445897,77.36615285

55.021,-1.23,3.06,9.35,0,0,28.63445897,77.36615285

55.081,-1.38,3.06,9.19,0,0,28.63445897,77.36615285

55.141,-1.53,2.91,9.19,0,0,28.63445897,77.36615285

55.201,-1.23,2.91,9.19,0,0,28.63445897,77.36615285

55.261,-1.23,3.06,9.35,0,0,28.63445897,77.36615285

55.321,-1.23,3.06,9.19,0,0,28.63445897,77.36615285

55.381,-1.23,3.22,9.35,0,0,28.63445897,77.36615285

55.441,-1.07,3.06,9.35,0,0,28.63445897,77.36615285

55.501,-1.23,2.76,9.35,0,0,28.63445897,77.36615285

55.561,-1.69,3.06,9.19,0,0,28.63445897,77.36615285

55.62,-1.53,3.06,9.04,0,0,28.63445897,77.36615285

55.68,-1.69,3.06,9.19,0,0,28.63445897,77.36615285

55.741,-1.69,3.06,9.19,0,0,28.63445897,77.36615285

55.8,-1.53,2.76,9.04,0,0,28.63445897,77.36615285

55.861,-1.53,3.22,9.19,0,0,28.63445897,77.36615285

55.921,-1.53,2.91,9.35,0,0,28.63445897,77.36615285

55.981,-1.53,3.06,9.19,0,0,28.63445897,77.36615285

56.04,-1.69,3.06,9.35,0,0,28.63445897,77.36615285

56.1,-1.53,2.91,9.19,0,0,28.63445897,77.36615285

56.16,-1.69,2.91,9.04,0,0,28.63445897,77.36615285

56.221,-1.53,3.06,9.19,0,0,28.63445897,77.36615285

56.281,-1.69,3.06,9.19,0,0,28.63445897,77.36615285

56.341,-1.99,2.91,9.04,0,0,28.63445897,77.36615285

56.401,-1.69,2.91,9.35,0,0,28.63445897,77.36615285

56.461,-1.69,2.91,9.19,0,0,28.63445897,77.36615285

56.52,-1.84,2.91,9.19,0,0,28.63445897,77.36615285

56.581,-1.84,2.91,9.19,0,0,28.63445897,77.36615285

56.641,-1.69,2.76,9.19,0,0,28.63445897,77.36615285

56.701,-1.84,2.91,9.19,0,0,28.63445897,77.36615285

56.761,-1.69,2.76,9.35,0,0,28.63445897,77.36615285

56.821,-1.69,2.91,9.19,0,0,28.63445897,77.36615285

56.881,-1.84,2.76,9.04,0,0,28.63445897,77.36615285

56.941,-1.84,2.76,9.35,0,0,28.63445897,77.36615285

57.001,-1.69,2.91,9.19,0,0,28.63445897,77.36615285

57.061,-1.53,2.91,9.04,0,0,28.63445897,77.36615285

57.12,-1.84,2.76,9.35,0,0,28.63445897,77.36615285

57.181,-1.84,2.76,9.19,0,0,28.63445897,77.36615285

57.24,-1.84,2.91,9.35,0,0,28.63445897,77.36615285

57.301,-1.53,2.91,9.19,0,0,28.63445897,77.36615285

57.361,-1.69,2.6,9.35,0,0,28.63445897,77.36615285

57.421,-1.69,3.06,8.89,0,0,28.63445897,77.36615285

57.481,-1.69,2.91,9.5,0,0,28.63445897,77.36615285

57.541,-1.69,2.91,9.19,0,0,28.63445897,77.36615285

57.601,-1.84,2.91,9.19,0,0,28.63445897,77.36615285

57.66,-1.84,2.91,9.04,0,0,28.63445897,77.36615285

57.72,-1.84,3.06,9.19,0,0,28.63445897,77.36615285

57.78,-1.99,2.91,9.19,0,0,28.63445897,77.36615285

57.841,-1.53,3.06,9.19,0,0,28.63445897,77.36615285

57.901,-1.84,2.91,9.19,0,0,28.63445897,77.36615285

57.96,-1.84,2.76,9.19,0,0,28.63445897,77.36615285

58.021,-1.84,2.76,9.19,0,0,28.63445897,77.36615285

58.08,-1.84,2.91,9.35,0,0,28.63445897,77.36615285

58.141,-1.84,2.76,9.19,0,0,28.63445897,77.36615285

58.201,-1.84,2.76,9.19,0,0,28.63445897,77.36615285

58.261,-1.53,3.06,9.35,0,0,28.63445897,77.36615285

58.321,-1.84,2.76,9.19,0,0,28.63445897,77.36615285

58.381,-1.69,2.76,9.04,0,0,28.63445897,77.36615285

58.441,-1.69,2.76,9.5,0,0,28.63445897,77.36615285

58.501,-1.84,2.91,9.19,0,0,28.63445897,77.36615285

58.561,-1.84,2.76,9.19,0,0,28.63445897,77.36615285

58.621,-1.84,2.91,9.19,0,0,28.63445897,77.36615285

58.681,-1.69,2.91,9.19,0,0,28.63445897,77.36615285

58.741,-1.84,2.76,9.19,0,0,28.63445897,77.36615285

58.801,-1.69,2.76,9.35,0,0,28.63445897,77.36615285

58.861,-1.84,2.91,9.19,0,0,28.63445897,77.36615285

58.921,-1.99,2.91,9.35,0,0,28.63445897,77.36615285

58.981,-1.69,2.91,9.19,0,0,28.63445897,77.36615285

59.041,-1.84,2.91,9.19,0,0,28.63445897,77.36615285

59.102,-1.69,3.06,9.19,0,0,28.63445897,77.36615285

59.16,-1.84,2.76,9.04,0,0,28.63445897,77.36615285

