time,x-axis,y-axis,z-axis,Event1,Event2,latitude,longitude
46.051,-1.48,2.83,9.34,0,0,0,0

46.088,-1.63,3.06,8.73,0,0,0,0

46.126,-1.72,3.28,8.46,0,0,0,0

46.158,-1.76,3.47,8.42,0,0,0,0

46.189,-1.68,3.32,8.65,0,0,0,0

46.221,-1.38,3.13,9.11,0,0,0,0

46.259,-1.29,3.21,9.81,0,0,0,0

46.298,-1.38,2.86,9.92,0,0,0,0

46.33,-1.33,2.79,9.92,0,0,0,0

46.362,-1.44,3.09,9.64,0,0,0,0

46.393,-1.53,3.21,8.99,0,0,0,0

46.425,-1.61,3.13,8.23,0,0,0,0

46.457,-1.33,2.9,7.93,0,0,0,0

46.488,-0.61,2.71,8.58,0,0,0,0

46.52,0,2.48,9.83,0,0,0,0

46.551,1.38,2.67,11.33,0,0,0,0

46.583,1.29,2.64,11.37,0,0,0,0

46.62,-1.25,1.72,10.49,0,0,0,0

46.66,-1.06,2.33,9.96,0,0,0,0

46.698,-1.84,1.95,11.29,0,0,0,0

46.735,-3.26,1.63,11.37,0,0,0,0

46.767,-3.13,2.14,8.92,0,0,0,0

46.799,-3.17,2.75,7.31,0,0,0,0

46.838,-3.02,3.36,6.89,0,0,0,0

46.878,-3.41,3.51,7.04,0,0,0,0

46.91,-3.09,3.6,7.61,0,0,0,0

46.941,-2.6,3.64,8.38,0,0,0,0

46.973,-2.56,3.64,8.88,0,0,0,0

47.005,-2.37,3.64,8.8,0,0,0,0

47.036,-1.76,3.7,9.26,0,0,0,0

47.068,-1.76,3.75,10.15,0,0,0,0

47.1,-1.63,3.64,10.26,0,0,0,0

47.132,-1.25,3.7,9.92,0,0,0,0

47.165,-1.06,3.94,9.58,0,0,0,0

47.201,-0.64,4.02,9.38,0,0,0,0

47.239,-0.41,4.06,9.22,0,0,0,0

47.277,0.03,4.32,8.77,0,0,0,0

47.308,0.34,4.7,8.27,0,0,0,0

47.34,0.15,4.67,7.76,0,0,0,0

47.372,0.19,4.55,7.42,0,0,0,0

47.404,0.53,4.7,8.42,0,0,0,0

47.435,0.87,4.74,8.77,0,0,0,0

47.467,0.76,4.78,8.58,0,0,0,0

47.499,0.53,4.82,8.65,0,0,0,0

47.53,0.3,4.74,8.77,0,0,0,0

47.562,0.19,4.59,8.69,0,0,0,0

47.593,0.11,4.63,8.99,0,0,0,0

47.625,-0.11,4.48,8.99,0,0,0,0

47.657,-0.34,4.32,8.99,0,0,0,0

47.688,-0.38,4.21,9.38,0,0,0,0

47.72,-0.57,4.17,9.38,0,0,0,0

47.752,-0.64,4.09,9.11,0,0,0,0

47.784,-0.34,4.25,8.99,0,0,0,0

47.816,0.03,4.29,8.65,0,0,0,0

47.848,0.03,4.09,8.65,0,0,0,0

47.879,0,3.94,8.54,0,0,0,0

47.911,0.19,3.9,8.61,0,0,0,0

47.943,0.26,3.98,8.58,0,0,0,0

47.975,0.19,4.02,8.73,0,0,0,0

48.006,0.3,4.02,8.96,0,0,0,0

48.038,0.45,4.17,8.92,0,0,0,0

48.069,0.45,4.21,8.73,0,0,0,0

48.101,0.45,4.32,8.73,0,0,0,0

48.133,0.53,4.32,8.8,0,0,0,0

48.165,0.53,4.32,8.84,0,0,0,0

48.196,0.38,4.29,8.88,0,0,0,0

48.228,0.41,4.29,8.99,0,0,0,0

48.261,0.34,4.29,9.11,0,0,0,0

48.3,0.3,4.17,9.03,0,0,0,0

48.338,0.3,4.25,8.84,0,0,0,0

48.376,0.19,4.29,8.65,0,0,0,0

48.407,0.19,4.36,8.69,0,0,0,0

48.439,0.07,4.32,8.8,0,0,0,0

48.47,0,4.25,8.92,0,0,0,0

48.502,-0.03,4.21,8.77,0,0,0,0

48.534,-0.15,4.21,8.77,0,0,0,0

48.565,-0.34,4.17,8.8,0,0,0,0

48.597,-0.41,4.17,8.65,0,0,0,0

48.629,-0.38,4.29,8.73,0,0,0,0

48.66,-0.49,4.25,8.69,0,0,0,0

48.692,-0.61,4.25,8.8,0,0,0,0

48.724,-0.64,4.25,9.03,0,0,0,0

48.755,-0.64,4.21,9.03,0,0,0,0

48.787,-0.64,4.17,8.96,0,0,0,0

48.819,-0.57,4.21,9.07,0,0,0,0

48.851,-0.57,4.32,9.07,0,0,0,0

48.883,-0.49,4.25,9.07,0,0,0,0

48.914,-0.53,4.25,9.07,0,0,0,0

48.946,-0.64,4.25,8.92,0,0,0,0

48.978,-0.72,4.21,8.8,0,0,0,0

49.01,-0.68,4.13,8.8,0,0,0,0

49.042,-0.8,4.17,8.77,0,0,0,0

49.104,-0.76,4.17,8.77,0,0,0,0

49.139,-0.87,4.21,8.77,0,0,0,0

