time,x-axis,y-axis,z-axis,Event1,Event2, ,
51.794000000000004 s,-1.07,1.69,9.35,0,0,28.64549966,77.31796781

51.814 s,-1.23,1.53,9.19,0,0,28.64549966,77.31796781

51.834 s,-1.23,1.53,9.19,0,0,28.64549966,77.31796781

51.854 s,-1.07,1.69,9.04,0,0,28.64549966,77.31796781

51.874 s,-1.07,1.69,9.19,0,0,28.64549966,77.31796781

51.894 s,-1.07,1.69,9.19,0,0,28.64549966,77.31796781

51.914 s,-1.07,1.53,9.19,0,0,28.64549966,77.31796781

51.934000000000005 s,-1.23,1.53,9.19,0,0,28.64549966,77.31796781

51.954 s,-1.23,1.53,9.19,0,0,28.64549966,77.31796781

51.974000000000004 s,-1.07,1.69,9.04,0,0,28.64549966,77.31796781

51.994 s,-1.07,1.69,9.04,0,0,28.64549966,77.31796781

52.014 s,-1.23,1.69,9.04,0,0,28.64549966,77.31796781

52.034 s,-1.23,1.84,9.04,0,0,28.64549966,77.31796781

52.054 s,-1.23,1.84,9.04,0,0,28.64549966,77.31796781

52.074 s,-1.07,1.69,9.04,0,0,28.64549966,77.31796781

52.094 s,-1.07,1.69,9.04,0,0,28.64549966,77.31796781

52.119 s,-0.92,1.53,9.19,0,0,28.64549966,77.31796781

52.137 s,-0.92,1.69,9.5,0,0,28.64549966,77.31796781

52.157000000000004 s,-0.92,1.69,9.5,0,0,28.64549966,77.31796781

52.176 s,-0.92,1.69,9.5,0,0,28.64549966,77.31796781

52.196 s,-1.07,1.84,9.35,0,0,28.64549966,77.31796781

52.215 s,-1.07,1.84,9.35,0,0,28.64549966,77.31796781

52.246 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

52.265 s,-1.07,1.69,8.89,0,0,28.64549966,77.31796781

52.289 s,-1.07,1.53,9.04,0,0,28.64549966,77.31796781

52.309000000000005 s,-1.07,1.53,9.04,0,0,28.64549966,77.31796781

52.337 s,-1.23,1.53,9.19,0,0,28.64549966,77.31796781

52.354 s,-1.07,1.69,9.35,0,0,28.64549966,77.31796781

52.374 s,-1.07,1.69,9.35,0,0,28.64549966,77.31796781

52.398 s,-1.07,1.69,9.35,0,0,28.64549966,77.31796781

52.414 s,-1.07,1.69,9.35,0,0,28.64549966,77.31796781

52.434000000000005 s,-1.07,1.69,9.35,0,0,28.64549966,77.31796781

52.454 s,-1.07,1.69,9.19,0,0,28.64549966,77.31796781

52.474000000000004 s,-1.07,1.69,9.19,0,0,28.64549966,77.31796781

